도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
경상북도교육청 금호도서관,경상북도,영천시,공공도서관,"매주 월요일과 일요일을 제외한 관공서의 공휴일(단, 일요일이 다른 공휴일과 겹치는 경우는 휴관)",09:00,22:00,09:00,22:00,09:00,17:00,204,71017,164,2733,7,14,경상북도 영천시 금호읍 금호로 173,경상북도교육청금호도서관,054-338-2124,990,1187,http://www.gbelib.kr/ycgh,35.934370,128.879848,2026-06-16,8821000,경상북도교육청 경상북도영천교육지원청
경상북도교육청 구미도서관,경상북도,구미시,공공도서관,매월 둘째 월+ 매월 넷째 월요일+일요일을 제외한 법정공휴일(일요일과 공휴일이 겹치는 경우는 휴관)+특별한 사유로 도서관장이 지정한 날,08:00,22:00,08:00,22:00,08:00,22:00,590,234874,308,7289,10,14,경상북도 구미시 산책길 41 (원평동),경상북도교육청 구미도서관,054-450-7000,6470,4722,http://www.gbelib.kr/gm,36.12417372,128.3313513,2026-06-15,8750686,경상북도교육청 경상북도교육청구미도서관
대구학생문화센터 도서실,대구광역시,달서구,작은도서관,임시휴무(~2027.2.),09:00,18:00,00:00,00:00,00:00,00:00,70,83259,140,0,10,15,대구광역시 달서구 용산로 181,대구학생문화센터,053-231-1291,25768,443,http://www.dge.go.kr/dccs,35.85302346,128.5295222,2026-06-01,7240195,대구광역시교육청 대구학생문화센터
서울특별시교육청송파도서관,서울특별시,송파구,공공도서관,둘째 화+넷째 화+공휴일,08:00,22:00,08:00,22:00,00:00,00:00,894,254870,282,10148,7,14,서울특별시 송파구 동남로 263,서울특별시교육청,02-3434-3333,6469.68,8259.7,https://splib.sen.go.kr,37.49993098,127.1348112,2026-06-01,7011344,서울특별시교육청 서울특별시교육청송파도서관
시립점자도서관,광주광역시,남구,공공도서관,토+법정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,30,5812,0,4990,5,30,광주광역시 남구 천변좌로370번길 3,광주광역시립도서관,062-672-9534,199,414,https://citylib.gwangju.go.kr/braille,35.1453650583,126.9121076,2026-06-02,6290000,광주광역시
디지털정보도서관,광주광역시,동구,공공도서관,1월 1일+설 당일+추석 당일,10:00,19:00,10:00,19:00,10:00,19:00,89,5702,18,1758,0,0,광주광역시 동구 금남로 245,광주광역시립도서관,062-613-7763,2778,1114,https://citylib.gwangju.go.kr,35.14835809,126.918779,2026-06-02,6290000,광주광역시
하남도서관,광주광역시,광산구,공공도서관,둘째 주 월+넷째 주 월+법정공휴일,09:00,18:00,09:00,17:00,00:00,00:00,620,25040,59,0,10,15,광주광역시 광산구 손재로 120(하남동),광주광역시립도서관,062-613-7490,9950,6896,https://citylib.gwangju.go.kr,35.17623403,126.7972326,2026-06-02,6290000,광주광역시
산수도서관,광주광역시,동구,공공도서관,첫째 주 월+셋째 주 월+법정공휴일,09:00,22:00,09:00,17:00,00:00,00:00,516,225582,127,2744,10,15,광주광역시 동구 경양로 355,광주광역시립도서관,062-613-7831,1823,4532,https://citylib.gwangju.go.kr,35.15441235,126.928434,2026-06-02,6290000,광주광역시
사직도서관,광주광역시,남구,공공도서관,첫째 주 월+셋째 주 월+법정공휴일,09:00,22:00,09:00,17:00,00:00,00:00,535,258848,178,3145,10,15,광주광역시 남구 제중로 56,광주광역시립도서관,062-613-7783,3252,5111,https://citylib.gwangju.go.kr,35.13952796,126.913963,2026-06-02,6290000,광주광역시
무등도서관,광주광역시,북구,공공도서관,둘째 주 월+넷째 주 월+법정공휴일,09:00,22:00,09:00,17:00,00:00,00:00,879,376415,191,18853,10,15,광주광역시 북구 면앙로 130,광주광역시립도서관,062-613-7753,12488,9145,https://citylib.gwangju.go.kr,35.17650598,126.9252752,2026-06-02,6290000,광주광역시
백전면 작은도서관,경상남도,함양군,작은도서관,매주토요일+일요일,10:00,17:00,00:00,00:00,00:00,00:00,000,1023,000,000,0,0,경상남도 함양군 백전면 함양남서로 2319,,,,,,35.549450,127.638200,2026-06-02,5460000,경상남도 함양군
유림 커뮤니티 도서관,경상남도,함양군,작은도서관,매주 월요일+일요일,10:00,19:00,10:00,19:00,00:00,00:00,20,1546,0,0,3,7,경상남도 함양군 유림면 천왕봉로 2959,,,,,,35.47346527,127.7931639,2026-06-02,5460000,경상남도 함양군
황산마을 작은도서관,경상남도,함양군,작은도서관,연중무휴,09:00,16:00,09:00,16:00,09:00,16:00,10,1000,0,0,0,0,경상남도 함양군 서하면 황산길 53-30,,,,,,35.62568865,127.7533492,2026-06-02,5460000,경상남도 함양군
LH함양서하어린이도서관,경상남도,함양군,작은도서관,매주 화요일+일요일,11:00,19:00,11:00,19:00,00:00,00:00,30,1200,0,0,5,7,경상남도 함양군 서하면 송계앞길 7-2,,,,,,35.64777853,127.6976741,2026-06-02,5460000,경상남도 함양군
